[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S03E24.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 4597
Audio File: Modern.Family.S03E24.HDTV.x264-LOL.avi

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:06:47.70,0:06:49.58,*Default,NTP,0000,0000,0000,,好  很好  面积是多少平方英尺
Dialogue: 0,0:06:49.58,0:06:52.42,*Default,NTP,0000,0000,0000,,三千五
Dialogue: 0,0:06:53.58,0:06:55.20,*Default,NTP,0000,0000,0000,,还没有要糖的捣蛋鬼上门吗
Dialogue: 0,0:06:55.20,0:06:58.75,*Default,NTP,0000,0000,0000,,-还没  -可能今年大家出门晚吧
Dialogue: 0,0:06:58.88,0:07:00.36,*Default,NTP,0000,0000,0000,,大街上全是小孩
Dialogue: 0,0:07:00.36,0:07:03.23,*Default,NTP,0000,0000,0000,,但他们都远远地避开我们家
Dialogue: 0,0:07:03.76,0:07:04.86,*Default,NTP,0000,0000,0000,,往前走
Dialogue: 0,0:07:12.37,0:07:13.90,*Default,NTP,0000,0000,0000,,谁要糖糖
Dialogue: 0,0:07:13.90,0:07:15.54,*Default,NTP,0000,0000,0000,,好多知名品牌
Dialogue: 0,0:07:15.54,0:07:18.09,*Default,NTP,0000,0000,0000,,-家庭友善型糖糖在这里  -那是圈套
Dialogue: 0,0:07:18.09,0:07:20.87,*Default,NTP,0000,0000,0000,,没有  我  哎呀  你呢
Dialogue: 0,0:07:20.87,0:07:22.36,*Default,NTP,0000,0000,0000,,你要糖糖吗  来嘛
Dialogue: 0,0:07:22.36,0:07:23.67,*Default,NTP,0000,0000,0000,,-拿糖糖  -妈  妈妈  她抓住我了
Dialogue: 0,0:07:23.67,0:07:25.18,*Default,NTP,0000,0000,0000,,不是  我不是故意的
Dialogue: 0,0:07:25.18,0:07:27.40,*Default,NTP,0000,0000,0000,,-我的糖  -不要了
Dialogue: 0,0:07:33.54,0:07:36.52,*Default,NTP,0000,0000,0000,,杰  你得准备去米奇和小卡的派对了
Dialogue: 0,0:07:36.52,0:07:39.90,*Default,NTP,0000,0000,0000,,歌洛莉亚  你看我的皮肤是不是松了很多
Dialogue: 0,0:07:39.90,0:07:40.82,*Default,NTP,0000,0000,0000,,什么
Dialogue: 0,0:07:40.89,0:07:42.93,*Default,NTP,0000,0000,0000,,或许我应该试试你的颈部紧致霜
